kikstart;Kick Start Wheelie King;
crbaloon;Crazy Balloon;a
sbowling;Strike Bowling;a
grchamp;Grand Champion;a
marinedt;Marine Date;a
bking;Birdie King;a
bking2;Birdie King 2;a
bking3;Birdie King 3;a
chaknpop;Chack'n Pop;
josvolly;Joshi Volleyball;a
gsword;Great Swordsman;
pitnrun;Pit and Run;a
lkage;The Legend of Kage;
msisaac;Metal Soldier Isaac II;a
retofinv;Return of the Invaders;a
fightrol;Fighting Roller;a
vsgongf;VS Gong Fight;a
fieldday;Field Day;
40love;Forty-Love;
tsamurai;Samurai Nihon-ichi;a
nunchaku;Nunchackun;a
yamagchi;Go Go Mr. Yamaguchi - Yuke Yuke Yamaguchi-kun;a
m660;Mission 660;a
buggychl;Buggy Challenge;a
ssrj;Super Speed Race Junior;
bigevglf;Big Event Golf;a
flstory;The FairyLand Story;
onna34ro;Onna Sansirou - Typhoon Gal;
gladiatr;Gladiator;
nycaptor;N.Y. Captor;
cyclshtg;Cycle Shooting;a
benberob;Ben Bero Beh;
halleys;Halley's Comet;a
lsasquad;Land Sea Air Squad - Riku Kai Kuu Saizensen;a
tokio;Tokio - Scramble Formation;a
bublbobl;Bubble Bobble;
kikikai;KiKi KaiKai;a
kicknrun;Kick and Run;
darius;Darius;
rastan;Rastan;
topspeed;Top Speed;
opwolf;Operation Wolf;
othunder;Operation Thunderbolt;
rainbow;Rainbow Islands;
arkanoid;Arkanoid;a
superqix;Super Qix;a
perestro;Perestroika Girls;a
pbillian;Prebillian;
hotsmash;Hot Smash;a
exzisus;Exzisus;
minivadr;Minivader;
volfied;Volfied;a
bonzeadv;Bonze Adventure;
asuka;Asuka and Asuka;a
mofflott;Maze of Flott;a
cadash;Cadash;
galmedes;Galmedes;a
earthjkr;U.N. Defense Force - Earth Joker;a
eto;Kokontouzai Eto Monogatari;
wgp;World Grand Prix;
slapshot;Slap Shot;
opwolf3;Operation Wolf 3;
ashnojoe;Ashita no Joe;
ninjaw;The Ninja Warriors;
darius2;Darius II;
warriorb;Warrior Blade - Rastan Saga Episode III;
superman;Superman;
twinhawk;Twin Hawk;a
gigandes;Gigandes;
kyustrkr;Last Striker - Kyuukyoku no Striker;
ballbros;Balloon Brothers;
plumppop;Plump Pop;
extrmatn;Extermination;a
arknoid2;Arkanoid - Revenge of DOH;a
drtoppel;Dr. Toppel's Adventure;a
kageki;Kageki;a
chukatai;Chuka Taisen;
tnzs;The NewZealand Story;
insectx;Insector X;
raimais;Raimais;
kurikint;Kuri Kinton;
evilston;Evil Stone;a
fhawk;Fighting Hawk;a
plotting;Plotting;
champwr;Champion Wrestler;
puzznic;Puzznic;
horshoes;American Horseshoes;a
palamed;Palamedes;
cachat;Cachat;
cubybop;Cuby Bop;
plgirls;Play Girls;a
plgirls2;Play Girls 2;a
syvalion;Syvalion;
recordbr;Recordbreaker;
dleague;Dynamite League;
masterw;Master of Weapon;a
nastar;Nastar;
rambo3;Rambo III;
crimec;Crime City;
viofight;Violence Fight;
ashura;Ashura Blaster;a
hitice;Hit the Ice;
sbm;Sonic Blast Man;
selfeena;Sel Feena;
silentd;Silent Dragon;
ryujin;Ryu Jin;a
qzshowby;Quiz Sekai wa SHOW by shobai;
pbobble;Puzzle Bobble;
spacedx;Space Invaders DX v2.1;
contcirc;Continental Circus;
chasehq;Chase H.Q.;
enforce;Enforce;
nightstr;Night Striker;
sci;Special Criminal Investigation;
bshark;Battle Shark;
aquajack;Aqua Jack;
spacegun;Space Gun;
dblaxle;Double Axle;
topland;Top Landing;
ainferno;Air Inferno;
gunbustr;Gunbuster;
superchs;Super Chase - Criminal Termination;
groundfx;Ground Effects - Super Ground Effects;
undrfire;Under Fire;
finalb;Final Blow;
dondokod;Don Doko Don;
megab;Mega Blast;
thundfox;Thunder Fox;
cameltry;Cameltry;
qtorimon;Quiz Torimonochou;
liquidk;Liquid Kids;
quizhq;Quiz H.Q.;
ssi;Super Space Invaders '91;a
gunfront;Gun and Frontier;a
growl;Growl;
mjnquest;Mahjong Quest;
footchmp;Football Champ;
koshien;Ah Eikou no Koshien;
yuyugogo;Yuuyu no Quiz de GO!GO!;
ninjak;The Ninja Kids;
solfigtr;Solitary Fighter;
qzquest;Quiz Quest - Hime to Yuusha no Monogatari;
pulirula;PuLiRuLa;
metalb;Metal Black;
qzchikyu;Quiz Chikyu Bouei Gun;
yesnoj;Yes-No Sinri Tokimeki Chart;
deadconx;Dead Connection;
dinorex;Dino Rex;
qjinsei;Quiz Jinsei Gekijoh;
qcrayon;Quiz Crayon Shinchan;
qcrayon2;Crayon Shinchan Orato Asobo;
driftout;Drift Out;a
ringrage;Ring Rage;
arabianm;Arabian Magic;
ridingf;Riding Fight;
gseeker;Grid Seeker - Project Stormhammer;a
trstar;Top Ranking Stars;
gunlock;Gunlock;a
scfinals;Super Cup Finals;
dungeonm;Dungeon Magic;
kaiserkn;Kaiser Knuckle;
dariusg;Darius Gaiden - Silver Hawk;
bublbob2;Bubble Bobble 2;
pwrgoal;Taito Power Goal;
qtheater;Quiz Theater - 3tsu no Monogatari;
elvactr;Elevator Action Returns;
spcinv95;Space Invaders '95 - Attack Of The Lunar Loonies;a
twinqix;Twin Qix;
quizhuhu;Moriguchi Hiroko no Quiz de Hyuu!Hyuu!;
pbobble2;Puzzle Bobble 2;
gekirido;Gekirindan;a
ktiger2;Kyukyoku Tiger 2;a
bubblem;Bubble Memories - The Story Of Bubble Bobble 3;
cleopatr;Cleopatra Fortune;
pbobble3;Puzzle Bobble 3;
arkretrn;Arkanoid Returns;
kirameki;Kirameki Star Road;
puchicar;Puchi Carat;
pbobble4;Puzzle Bobble 4;
popnpop;Pop 'N Pop;
landmakr;Land Maker;
perfrman;Performan;a
tigerh;Tiger Heli;a
slapfigh;Slap Fight;a
getstar;Guardian;
mjsister;Mahjong Sisters;
fshark;Flying Shark;a
wardner;Wardner;
twincobr;Twin Cobra;a
gulfwar2;Gulf War II;a
rallybik;Rally Bike - Dash Yarou;a
truxton;Truxton - Tatsujin;a
